,CDS-Simple-Lam,CDS-GK96,CDS-WAF02,CDS-Lam-Congest
100,24.28,76.58,55.56,323.12
200,24.94,116.76,76.24,583.2
300,27.56,141.74,92.18,736.74
400,27.26,156.36,98.7,902.0
500,27.74,172.5,111.04,975.0
600,29.1,197.72,119.72,1221.12
700,29.02,223.9,136.42,1475.42
800,29.08,234.7,137.72,1514.26
900,30.42,251.88,142.58,1680.28
1000,30.88,271.06,153.92,1782.84
1100,30.98,270.48,162.72,1981.7
1200,31.62,298.78,164.78,2101.14
1300,31.88,308.1,171.42,2273.78
1400,32.22,327.38,170.8,2214.16
1500,31.98,324.62,188.6,2462.02
1600,32.38,325.6,186.96,2406.3
1700,32.28,337.64,183.78,2642.0
1800,32.42,356.34,197.3,2862.42
1900,33.22,386.57,198.24,2671.32
2000,33.92,373.1,209.78,3007.6
